Trajectories
100
,,Patient 1:O,,,Patient 1:X,,,Patient 1:Y,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
259,0,-283.751,240.971,1535.44,-320.668,244.74,1534.77,-281.314,255.42,1482.77
260,0,-283.78,241.14,1535.48,-320.707,244.894,1534.85,-281.338,255.558,1482.79
261,0,-283.768,241.342,1535.59,-320.711,245.012,1534.93,-281.315,255.725,1482.87
262,0,-283.776,241.535,1535.67,-320.712,245.167,1534.98,-281.342,255.904,1482.93
263,0,-283.777,241.721,1535.79,-320.722,245.29,1535.05,-281.334,256.121,1483
264,0,-283.773,241.958,1535.95,-320.744,245.431,1535.15,-281.328,256.246,1483.06
265,0,-283.825,241.999,1535.97,-320.734,245.59,1535.23,-281.338,256.501,1483.18
266,0,-283.853,242.094,1536.01,-320.723,245.84,1535.36,-281.356,256.625,1483.25
267,0,-283.887,242.16,1536.05,-320.72,246.006,1535.48,-281.329,256.787,1483.3
268,0,-283.909,242.248,1536.09,-320.766,246.178,1535.54,-281.348,256.951,1483.39
269,0,-283.899,242.379,1536.15,-320.802,246.322,1535.53,-281.397,257.1,1483.48
270,0,-283.91,242.495,1536.19,-320.82,246.501,1535.57,-281.426,257.28,1483.54
271,0,-283.893,242.644,1536.26,-320.829,246.704,1535.61,-281.442,257.443,1483.54
272,0,-283.881,242.864,1536.31,-320.827,246.895,1535.65,-281.434,257.65,1483.59
273,0,-283.847,243.035,1536.37,-320.826,247.027,1535.66,-281.463,257.789,1483.62
274,0,-283.828,243.27,1536.4,-320.795,247.139,1535.66,-281.476,257.934,1483.63
275,0,-283.785,243.532,1536.43,-320.786,247.291,1535.71,-281.449,258.116,1483.66
276,0,-283.828,243.692,1536.47,-320.782,247.433,1535.74,-281.434,258.273,1483.69
277,0,-283.83,243.941,1536.53,-320.781,247.556,1535.79,-281.43,258.407,1483.72
278,0,-283.8,244.193,1536.63,-320.769,247.751,1535.86,-281.407,258.567,1483.75
279,0,-283.842,244.434,1536.71,-320.707,247.936,1535.88,-281.419,258.751,1483.79
280,0,-283.898,244.552,1536.7,-320.721,248.127,1535.96,-281.394,258.882,1483.82
281,0,-283.891,244.728,1536.75,-320.76,248.388,1536.05,-281.389,259.05,1483.84
282,0,-283.886,244.882,1536.79,-320.759,248.665,1536.16,-281.378,259.209,1483.9
283,0,-283.839,245.074,1536.85,-320.73,248.912,1536.27,-281.273,259.166,1483.79
284,0,-283.81,245.188,1536.88,-320.741,249.131,1536.36,-281.367,259.8,1484.21
285,0,-283.781,245.32,1536.91,-320.696,249.253,1536.38,-281.361,259.827,1484.16
286,0,-283.748,245.491,1536.94,-320.695,249.528,1536.51,-281.363,259.97,1484.16
287,0,-283.714,245.767,1536.98,-320.681,249.636,1536.46,-281.349,260.111,1484.23
288,0,-283.662,246.08,1537.07,-320.674,249.796,1536.51,-281.486,260.496,1484.33
289,0,-283.681,246.314,1537.12,-320.677,249.979,1536.55,-281.464,260.704,1484.39
290,0,-283.708,246.547,1537.17,-320.688,250.217,1536.57,-281.416,260.941,1484.44
291,0,-283.707,246.702,1537.19,-320.812,250.362,1536.58,-281.445,261.194,1484.47
