X [s],Analog Input adapter 16: Analog.A 16 [V],Analog Input adapter 16: Analog.B 16 [V],Analog Input adapter 16: Analog.C 16 [V],Analog Input adapter 16: Analog.D 16 [V]
4.821429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
4.840714e-001,2.863283e-001,1.418134e+000,7.047735e-002,1.417350e+000
4.860000e-001,2.864852e-001,1.417977e+000,7.079109e-002,1.417507e+000
4.879286e-001,2.866421e-001,1.418134e+000,7.032049e-002,1.417664e+000
4.898571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
4.917857e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
4.937143e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
4.956429e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
4.975714e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
4.995000e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
5.014286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
5.033571e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.052857e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.072143e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
5.091429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.110714e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.130000e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
5.149286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
5.168571e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
5.187857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
5.207143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417664e+000
5.226429e-001,2.866421e-001,1.417664e+000,7.079109e-002,1.417507e+000
5.245714e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
5.265000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
5.284286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.303571e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.322857e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
5.342143e-001,2.867989e-001,1.418134e+000,7.047735e-002,1.417350e+000
5.361429e-001,2.867989e-001,1.418291e+000,7.047735e-002,1.417350e+000
5.380714e-001,2.867989e-001,1.417977e+000,7.032049e-002,1.417507e+000
5.400000e-001,2.863283e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.419286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
5.438571e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
5.457857e-001,2.866421e-001,1.418134e+000,7.032049e-002,1.417350e+000
5.477143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
5.496429e-001,2.867989e-001,1.418291e+000,7.032049e-002,1.417350e+000
5.515714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
5.535000e-001,2.866421e-001,1.417820e+000,7.047735e-002,1.417350e+000
5.554286e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417350e+000
5.573571e-001,2.866421e-001,1.417977e+000,7.016362e-002,1.417350e+000
5.592857e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
5.612143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
5.631429e-001,2.867989e-001,1.418291e+000,7.047735e-002,1.417507e+000
5.650714e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
